companyName,contractType,location,sector,title,postingDate,hourlySalary,salaryRating,viewsCount,applicationsCount,interviewsCount,offersCount,hired,applicationDate,interviewDate,offerDate,hireDate,timeToHireDays,applicantExperienceLevel,workType,salaryRange
Jobot,Full-time,"Bakersfield, CA","Software Development, Technology, Information and Internet, and Technology, Information and Media",AI Solutions Developer - Legal Tech,2024-07-06,45.1,1.3,698,86,6,2,True,2024-07-09,2024-07-17,2024-07-22,2024-07-27,18.0,Junior,Remote,$80k-$100k
Regions Bank,Full-time,"Charlotte, NC",Banking,Enterprise Risk Testing Analyst,2024-07-22,46.1,1.3,1146,102,5,0,False,2024-07-31,2024-08-08,2024-08-11,,,Junior,On-site,$60k-$80k
TEKsystems,Temporary,"Phoenix, AZ",IT Services and IT Consulting,Executive Assistant,2024-11-23,49.66,1.6,829,156,30,1,False,2024-11-27,2024-12-06,2024-12-10,,,Junior,Remote,$60k-$80k
Weis Markets,Full-time,United States,Retail,Retail Crime Investigator,2024-12-16,47.32,1.4,1422,76,12,4,True,2024-12-18,2024-12-27,2025-01-01,2025-01-05,18.0,Mid-level,Remote,$80k-$100k
Indenovo Global Search & Selection,Full-time,"California, United States",Hospitals and Health Care and Medical Practices,Mergers and Acquisitions Director,2024-12-26,38.76,0.7,917,145,4,1,False,2024-12-31,2025-01-09,2025-01-11,,,Junior,Remote,$60k-$80k
Jobot,Full-time,"Grand Rapids, MI",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-12-26,48.88,1.6,538,17,1,0,False,2024-12-28,2024-12-31,2025-01-03,,,Mid-level,On-site,$100k-$120k
Jobot,Full-time,"Henderson, NV","Software Development, Technology, Information and Internet, and Technology, Information and Media",AI Solutions Developer - Legal Tech,2024-05-04,59.59,2.5,858,131,9,3,False,2024-05-10,2024-05-15,2024-05-21,,,Mid-level,Remote,$80k-$100k
Kroger,Part-time,"New Albany, IN",Retail,Grocery Clerk,2024-09-19,46.08,1.3,1161,93,4,1,True,2024-09-20,2024-09-25,2024-09-27,2024-10-03,13.0,Junior,On-site,$60k-$80k
Kroger,Part-time,"Oregon, OH",Retail,Grocery Clerk,2024-04-22,35.1,0.4,628,184,24,8,True,2024-04-28,2024-05-05,2024-05-10,2024-05-16,18.0,Junior,On-site,$40k-$60k
Jobot,Full-time,"Philadelphia, PA","Advertising Services, Marketing Services, and Technology, Information and Internet",Recruiter at Jobot - Work 100% Remote!,2024-10-04,50.22,1.7,1098,141,14,2,True,2024-10-08,2024-10-11,2024-10-14,2024-10-17,9.0,Junior,On-site,$60k-$80k
Sedgwick,Part-time,"Georgia, United States",Insurance,Remote Housing Coordinator,2024-09-05,35.71,0.5,338,94,5,1,False,2024-09-08,2024-09-15,2024-09-18,,,Mid-level,On-site,$40k-$60k
Talent Groups,Full-time,"Boston, MA",Staffing and Recruiting,User Acceptance Testers,2025-02-08,49.91,1.7,1141,54,2,0,False,2025-02-10,2025-02-17,2025-02-19,,,Mid-level,On-site,$60k-$80k
Jobot,Full-time,"Casper, WY",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-08-01,45.06,1.3,741,145,19,6,True,2024-08-08,2024-08-15,2024-08-18,2024-08-24,16.0,Junior,On-site,$100k-$120k
Jobot,Full-time,"Lake Havasu City, AZ","Software Development, Technology, Information and Internet, and Technology, Information and Media",AI Solutions Developer - Legal Tech,2024-05-10,63.95,2.8,256,96,12,5,False,2024-05-19,2024-05-25,2024-05-30,,,Senior,On-site,$80k-$100k
ActionLink,Part-time,"Bloomingdale, IL",Retail,Retail Merchandiser - Electronics - Part Time,2024-05-17,42.36,1.0,1455,25,2,0,False,2024-05-20,2024-05-27,2024-05-29,,,Mid-level,Hybrid,$60k-$80k
Jobgether,Full-time,United States,Non-profit Organizations and Primary and Secondary Education,Regional Director / Vice President of Sales (Remote - PST),2024-12-19,41.54,1.0,857,86,17,7,False,2024-12-25,2025-01-02,2025-01-08,,,Mid-level,On-site,$60k-$80k
Jobot,Full-time,"Irvine, CA",IT Services and IT Consulting and Software Development,Senior Software Engineer,2024-10-30,64.47,2.9,634,18,2,0,False,2024-11-08,2024-11-12,2024-11-14,,,Senior,Hybrid,$120k+
Xoriant,Full-time,Greater Boston,"Financial Services, Investment Banking, and Banking",Business Analyst (Financial and Payment),2024-05-06,41.11,0.9,583,69,8,1,True,2024-05-08,2024-05-16,2024-05-18,2024-05-22,14.0,Mid-level,Remote,$80k-$100k
Jobot,Full-time,"Henderson, NV","Software Development, Technology, Information and Internet, and Technology, Information and Media",AI Solutions Developer - Legal Tech,2024-05-02,61.92,2.7,759,87,11,2,True,2024-05-09,2024-05-17,2024-05-23,2024-05-26,17.0,Senior,On-site,$100k-$120k
Penn State University,Full-time,"University Park, PA",Higher Education,Administrative Support Assistant,2024-12-03,54.93,2.1,393,86,3,0,False,2024-12-08,2024-12-13,2024-12-18,,,Mid-level,Hybrid,$80k-$100k
Archdiocese of Milwaukee,Full-time,Greater Milwaukee,Religious Institutions,Academic Aide,2024-04-28,42.37,1.0,733,80,17,7,False,2024-05-03,2024-05-09,2024-05-13,,,Mid-level,Remote,$80k-$100k
Jobot,Full-time,"Houston, TX",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2025-01-05,51.22,1.8,717,24,1,0,False,2025-01-12,2025-01-19,2025-01-23,,,Junior,On-site,$100k-$120k
DoorLoop,Full-time,"Miami, FL",Software Development,Talent Acquisition Partner,2024-12-04,49.44,1.6,915,80,15,6,True,2024-12-13,2024-12-18,2024-12-24,2024-12-30,17.0,Mid-level,On-site,$60k-$80k
Invenia Group,Full-time,"Minneapolis, MN",Biotechnology Research and Pharmaceutical Manufacturing,Field Application Specialist,2024-05-01,52.72,1.9,950,111,9,2,False,2024-05-05,2024-05-08,2024-05-13,,,Mid-level,Remote,$60k-$80k
TEKsystems,Full-time,"Plano, TX",IT Services and IT Consulting,Mortgage Closer,2024-05-02,46.86,1.4,384,178,15,2,True,2024-05-11,2024-05-14,2024-05-17,2024-05-19,8.0,Mid-level,Remote,$80k-$100k
Valley Nissan,Full-time,"Laramie, WY",Automotive,Mobile Service Technician,2025-03-26,42.83,1.1,491,31,4,0,False,2025-04-04,2025-04-09,2025-04-15,,,Senior,Hybrid,$60k-$80k
Center for Public Partnerships & Research,Part-time,Topeka Metropolitan Area,Higher Education,NCCS Student Assistant for Research,2024-08-11,43.25,1.1,931,161,24,5,True,2024-08-15,2024-08-19,2024-08-23,2024-08-25,10.0,Senior,On-site,$40k-$60k
Microsoft,Full-time,"Redmond, WA",Software Development,Senior Researcher - Systems and Foundations - Microsoft Research,2024-08-09,80.87,4.2,315,122,28,7,True,2024-08-12,2024-08-17,2024-08-22,2024-08-24,12.0,Senior,Remote,$100k-$120k
"BAE Systems, Inc.",Full-time,"Annapolis Junction, MD",Defense and Space Manufacturing,Mid/Sr SIEM (Security Information and Event Management) Engineer / Splunk Admin,2025-01-01,40.08,0.8,1024,181,35,4,False,2025-01-03,2025-01-08,2025-01-10,,,Junior,On-site,$120k+
Black Box,Full-time,"Chandler, AZ",IT Services and IT Consulting,Infrastructure Technician I,2025-03-09,47.39,1.4,1272,10,1,0,False,2025-03-18,2025-03-24,2025-03-29,,,Junior,On-site,$80k-$100k
Jobot,Full-time,"Yuma, AZ","Software Development, Technology, Information and Internet, and Technology, Information and Media",AI Solutions Developer - Legal Tech,2025-03-25,48.89,1.6,884,19,2,0,False,2025-03-27,2025-03-30,2025-04-04,,,Junior,On-site,$80k-$100k
Natera,Full-time,United States,"Biotechnology Research, Pharmaceutical Manufacturing, and Software Development","Principal, AI Solutions for Sales Effectiveness",2024-12-16,50.88,1.7,281,119,27,10,True,2024-12-22,2024-12-25,2024-12-29,2024-12-31,9.0,Mid-level,On-site,$60k-$80k
Tulane University School of Medicine,Full-time,"New Orleans, LA",Higher Education,"Postdoctoral Fellow, Computer Science  >>>",2024-08-12,36.86,0.6,1033,193,19,7,False,2024-08-17,2024-08-24,2024-08-28,,,Junior,Hybrid,$80k-$100k
HelloFresh,Full-time,"New York, NY",Consumer Services,[TECH-US] Staff People Technology Technical Specialist [GLOBAL OPERATIONS ANALYTICS AND TECHNOLOGY],2024-05-02,46.76,1.4,532,122,13,1,True,2024-05-07,2024-05-15,2024-05-18,2024-05-20,13.0,Junior,Remote,$60k-$80k
Jobot,Full-time,"Tallahassee, FL",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-12-22,52.02,1.8,756,59,12,3,False,2024-12-26,2024-12-31,2025-01-03,,,Junior,Hybrid,$100k-$120k
Discover Financial Services,Part-time,"Columbus, OH","Financial Services, Banking, and Hospitality",Part Time Fraud Acct Verification,2024-10-07,47.85,1.5,534,21,4,0,False,2024-10-13,2024-10-18,2024-10-24,,,Junior,On-site,$40k-$60k
Jobot,Full-time,"Duluth, MN",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-09-01,41.62,1.0,731,98,1,0,False,2024-09-06,2024-09-10,2024-09-12,,,Junior,Hybrid,$120k+
Williams,Full-time,"Houston, TX",Oil and Gas,Corporate Development Analyst Sr,2025-02-17,46.6,1.4,420,197,21,0,False,2025-02-21,2025-03-02,2025-03-05,,,Junior,Hybrid,$60k-$80k
Jobot,Full-time,"Nashville, TN",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-05-09,54.04,2.0,834,163,1,0,False,2024-05-18,2024-05-27,2024-05-31,,,Mid-level,On-site,$100k-$120k
Jobot,Full-time,"Indianapolis, IN",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-09-18,54.02,2.0,522,121,10,0,False,2024-09-24,2024-09-27,2024-10-02,,,Junior,Remote,$120k+
Jobot,Full-time,"Chicago, IL",IT Services and IT Consulting and Software Development,Senior Software Engineer,2024-04-05,78.1,4.0,202,87,15,6,True,2024-04-08,2024-04-12,2024-04-18,2024-04-21,13.0,Senior,Remote,$100k-$120k
Kroger,Part-time,"Midland, MI",Retail,Courtesy Clerk/Grocery Bagger,2024-09-12,48.53,1.5,405,178,32,13,True,2024-09-18,2024-09-24,2024-09-27,2024-10-02,14.0,Junior,Hybrid,$40k-$60k
Archdiocese of Milwaukee,Part-time,Greater Milwaukee,Religious Institutions,AP Computer Science Teacher: One Section of AP Computer Science (Part-time 20% FTE) for the 2025-26 School Year,2024-04-22,51.1,1.8,239,45,7,1,False,2024-04-23,2024-04-30,2024-05-05,,,Senior,On-site,$40k-$60k
Northwell Health,Full-time,"Manhasset, NY",Hospitals and Health Care,Associate Project Manager,2024-05-11,40.4,0.9,258,32,4,1,True,2024-05-16,2024-05-20,2024-05-25,2024-05-30,14.0,Senior,Hybrid,$80k-$100k
Jobot,Full-time,"Evansville, IN",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-05-10,60.63,2.6,1150,180,22,8,True,2024-05-16,2024-05-19,2024-05-22,2024-05-25,9.0,Junior,Remote,$100k-$120k
Maxim Healthcare Services,Full-time,"Alhambra, CA",Hospitals and Health Care,Recruiter Trainee,2024-11-13,44.97,1.2,773,143,18,0,False,2024-11-21,2024-11-27,2024-11-29,,,Junior,On-site,$80k-$100k
Jobot,Full-time,"Albuquerque, NM","Software Development, Technology, Information and Internet, and Technology, Information and Media",AI Solutions Developer - Legal Tech,2024-12-15,41.93,1.0,843,180,32,11,True,2024-12-24,2024-12-29,2024-12-31,2025-01-03,10.0,Mid-level,Remote,$100k-$120k
Jobot,Full-time,"Cedar Rapids, IA",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-10-17,41.46,1.0,1042,34,3,0,False,2024-10-20,2024-10-26,2024-11-01,,,Junior,On-site,$120k+
Momentum Project Management,Full-time,"Cedar Rapids, IA",Business Consulting and Services,Quality Assurance Specialist,2025-03-15,41.68,1.0,1345,27,4,0,False,2025-03-17,2025-03-25,2025-03-27,,,Junior,Hybrid,$80k-$100k
Jobot,Full-time,"Columbus, OH",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-08-11,59.62,2.5,818,199,18,4,False,2024-08-15,2024-08-19,2024-08-25,,,Junior,Hybrid,$120k+
Jobot,Full-time,"Albuquerque, NM","Software Development, Technology, Information and Internet, and Technology, Information and Media",AI Solutions Developer - Legal Tech,2024-07-03,57.69,2.3,295,52,11,1,False,2024-07-11,2024-07-14,2024-07-18,,,Junior,Hybrid,$100k-$120k
Kroger,Part-time,"Lexington, KY",Retail,Grocery Clerk,2025-01-29,50.77,1.7,1458,87,7,0,False,2025-02-06,2025-02-10,2025-02-13,,,Mid-level,Remote,$60k-$80k
Jobot,Full-time,"Las Vegas, NV","Software Development, Technology, Information and Internet, and Technology, Information and Media",AI Solutions Developer - Legal Tech,2024-06-09,52.93,1.9,1097,37,1,0,False,2024-06-12,2024-06-17,2024-06-22,,,Senior,On-site,$100k-$120k
Jobot,Full-time,"Detroit, MI",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2025-03-15,51.0,1.8,1285,155,29,4,True,2025-03-19,2025-03-28,2025-04-03,2025-04-07,19.0,Mid-level,On-site,$120k+
Kroger,Part-time,"Bluffton, SC",Retail,Grocery Clerk,2024-04-05,37.95,0.7,1479,68,2,0,False,2024-04-08,2024-04-13,2024-04-15,,,Mid-level,Hybrid,$40k-$60k
Charles Schwab,Full-time,"Austin, TX",Financial Services,"Sr Manager, IT Project Manager – Advisor Services",2025-03-18,41.56,1.0,760,197,44,9,True,2025-03-20,2025-03-23,2025-03-29,2025-04-03,14.0,Mid-level,On-site,$60k-$80k
Wilderness Resort in Wisconsin Dells,Full-time,"Wisconsin Dells, WI",Hospitality,Cabana Attendant,2024-04-17,43.68,1.1,1104,72,8,1,False,2024-04-21,2024-04-29,2024-05-05,,,Mid-level,On-site,$60k-$80k
Temasek,Full-time,"San Francisco, CA",Financial Services,"Executive Assistant, Investment (Americas-San Francisco)",2025-02-09,36.77,0.6,547,194,31,7,True,2025-02-15,2025-02-22,2025-02-24,2025-02-26,11.0,Mid-level,On-site,$80k-$100k
Jobot,Full-time,"Atlanta, GA",IT Services and IT Consulting and Software Development,Site Reliability Engineer,2024-09-27,45.52,1.3,870,101,2,0,False,2024-10-02,2024-10-08,2024-10-10,,,Junior,On-site,$120k+
EasyDMARC,Full-time,United States,"Technology, Information and Internet",Account Executive Deliverability Platform,2025-03-28,46.96,1.4,1347,188,7,2,False,2025-03-31,2025-04-06,2025-04-09,,,Mid-level,Hybrid,$60k-$80k
AdventHealth Colorado,Full-time,"Denver, CO",Hospitals and Health Care,RCIS - No Call,2024-04-29,49.71,1.6,516,65,4,0,False,2024-05-01,2024-05-06,2024-05-11,,,Senior,Hybrid,$60k-$80k
Kroger,Part-time,"Atlanta, GA",Retail,Online Grocery Pick-Up Clerk,2024-10-06,54.97,2.1,918,164,18,0,False,2024-10-15,2024-10-19,2024-10-22,,,Junior,On-site,$40k-$60k
Kroger,Part-time,"Martinsville, VA",Retail,Online Grocery Pick-Up Clerk,2025-03-18,53.66,2.0,1271,169,38,14,True,2025-03-19,2025-03-28,2025-03-31,2025-04-03,15.0,Senior,On-site,$40k-$60k
Kroger,Part-time,"Addison, TX",Retail,Online Grocery Pick-Up Clerk,2024-09-26,47.85,1.5,1359,120,27,7,False,2024-10-05,2024-10-09,2024-10-11,,,Mid-level,On-site,$40k-$60k
Jobot,Full-time,"Milwaukee, WI",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-11-04,50.53,1.7,1424,146,9,1,False,2024-11-05,2024-11-13,2024-11-15,,,Mid-level,On-site,$100k-$120k
Kroger,Part-time,"Indianapolis, IN",Retail,Online Grocery Pick-Up Clerk,2024-12-02,47.72,1.5,449,77,9,0,False,2024-12-09,2024-12-16,2024-12-21,,,Junior,On-site,$40k-$60k
Kroger,Part-time,"Houston, TX",Retail,Online Grocery Pick-Up Clerk,2024-09-09,50.71,1.7,513,55,8,0,False,2024-09-15,2024-09-19,2024-09-25,,,Mid-level,On-site,$40k-$60k
Jobot,Full-time,"Cleveland, OH",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-11-03,42.96,1.1,1006,76,3,0,False,2024-11-10,2024-11-16,2024-11-19,,,Senior,Hybrid,$100k-$120k
Kroger,Part-time,"Bloomington, IN",Retail,Online Grocery Pick-Up Clerk,2024-10-17,43.2,1.1,684,163,18,8,False,2024-10-20,2024-10-29,2024-11-03,,,Mid-level,Hybrid,$60k-$80k
Kroger,Part-time,"Nashville, TN",Retail,Online Grocery Pick-Up Clerk,2025-02-14,51.8,1.8,1434,145,5,0,False,2025-02-17,2025-02-21,2025-02-24,,,Junior,On-site,$40k-$60k
Kroger,Part-time,"Hamilton, OH",Retail,Online Grocery Pick-Up Clerk,2024-04-18,42.68,1.1,243,15,2,0,False,2024-04-19,2024-04-28,2024-05-04,,,Junior,Hybrid,$60k-$80k
MKS Instruments,Full-time,"Beaverton, OR",Semiconductor Manufacturing,Sr. Software Development Manager,2024-07-01,46.44,1.4,770,33,4,0,False,2024-07-05,2024-07-12,2024-07-15,,,Mid-level,Remote,$60k-$80k
Discover Financial Services,Part-time,"Phoenix, AZ","Financial Services, Banking, and Hospitality",Part Time Fraud Acct Verification,2025-03-10,46.76,1.4,782,185,30,11,False,2025-03-12,2025-03-18,2025-03-22,,,Mid-level,On-site,$40k-$60k
Black Box,Full-time,"Chandler, AZ",IT Services and IT Consulting,CCNA Network Engineer,2025-02-09,44.61,1.2,1315,103,4,1,True,2025-02-17,2025-02-26,2025-03-03,2025-03-05,16.0,Mid-level,On-site,$120k+
Health Match BC,Part-time,"Bowie, MD",Hospitals and Health Care,Diagnostic Radiology,2024-09-09,42.24,1.0,1488,182,39,16,True,2024-09-12,2024-09-16,2024-09-18,2024-09-23,11.0,Senior,Hybrid,$40k-$60k
Southeastern University,Full-time,"Lakeland, FL",Higher Education,Academic Services Coordinator,2024-10-31,41.69,1.0,1094,22,4,0,False,2024-11-07,2024-11-13,2024-11-16,,,Mid-level,On-site,$60k-$80k
Jobot,Full-time,"Brownsville, TX",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-06-30,40.65,0.9,419,34,1,0,False,2024-07-07,2024-07-12,2024-07-17,,,Mid-level,Hybrid,$100k-$120k
TEKsystems,Full-time,"Troy, MI",IT Services and IT Consulting,Home Equity Processor,2024-05-28,35.48,0.5,1124,157,28,8,True,2024-06-06,2024-06-11,2024-06-16,2024-06-22,16.0,Junior,Remote,$60k-$80k
Jobot,Full-time,"Tucson, AZ","Software Development, Technology, Information and Internet, and Technology, Information and Media",AI Solutions Developer - Legal Tech,2024-09-11,60.79,2.6,600,127,12,2,False,2024-09-17,2024-09-25,2024-09-28,,,Junior,On-site,$80k-$100k
Baylor Scott & White Health,Full-time,United States,Hospitals and Health Care,Cancer Registrar 2,2024-08-02,40.46,0.9,926,91,2,0,False,2024-08-03,2024-08-08,2024-08-10,,,Mid-level,Hybrid,$60k-$80k
Amwins Global Risks,Full-time,"Tampa, FL",Insurance,Entry-Level Insurance Brokerage Assistant,2024-10-17,45.36,1.3,1190,120,11,3,False,2024-10-25,2024-10-29,2024-10-31,,,Senior,Hybrid,$60k-$80k
Stryker,Full-time,"Portland, OR","Appliances, Electrical, and Electronics Manufacturing, Industrial Machinery Manufacturing, and Medical Equipment Manufacturing",Repair Service Representative - 1st Shift (Remote),2024-04-30,40.97,0.9,1098,91,14,6,False,2024-05-01,2024-05-08,2024-05-11,,,Mid-level,On-site,$80k-$100k
Jobot,Full-time,"Yuma, AZ","Software Development, Technology, Information and Internet, and Technology, Information and Media",AI Solutions Developer - Legal Tech,2025-03-20,63.52,2.8,1057,75,16,4,True,2025-03-23,2025-03-29,2025-04-03,2025-04-09,17.0,Mid-level,On-site,$80k-$100k
Jobot,Full-time,"Tucson, AZ","Software Development, Technology, Information and Internet, and Technology, Information and Media",AI Solutions Developer - Legal Tech,2025-03-25,46.48,1.4,1003,54,4,1,True,2025-03-30,2025-04-08,2025-04-10,2025-04-13,14.0,Junior,Remote,$80k-$100k
Stampin' Up!,Full-time,"Riverton, UT",Retail Art Supplies,E-commerce Manager,2024-12-02,43.59,1.1,689,123,29,13,True,2024-12-10,2024-12-13,2024-12-16,2024-12-20,10.0,Senior,Remote,$60k-$80k
City of Edmond,Full-time,"Edmond, OK",Government Administration,Kennel Technician (part-time),2024-09-29,52.45,1.9,1137,184,38,6,False,2024-10-08,2024-10-13,2024-10-16,,,Senior,Hybrid,$80k-$100k
Jobot,Full-time,"Green Bay, WI",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-07-14,61.05,2.6,1043,72,4,1,True,2024-07-21,2024-07-26,2024-07-29,2024-07-31,10.0,Mid-level,Remote,$100k-$120k
Wenham Carter Group,Full-time,"California, United States",Motor Vehicle Manufacturing,Technical Product Manager,2025-01-01,38.72,0.7,1492,85,15,0,False,2025-01-10,2025-01-13,2025-01-18,,,Junior,On-site,$80k-$100k
Jobot,Full-time,"Bismarck, ND",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-11-28,60.07,2.5,466,123,24,7,True,2024-12-01,2024-12-10,2024-12-12,2024-12-15,14.0,Mid-level,On-site,$100k-$120k
Atlassian,Full-time,"New York, NY",Software Development,"Product Designer, Loom Core Product",2024-05-22,44.16,1.2,253,120,25,5,False,2024-05-27,2024-06-05,2024-06-10,,,Senior,On-site,$80k-$100k
DoorDash,Full-time,United States,Software Development,"Executive Assistant, Marketing and Strategy & Operations",2025-02-19,44.66,1.2,727,192,1,0,False,2025-02-27,2025-03-02,2025-03-06,,,Mid-level,On-site,$60k-$80k
Kroger,Part-time,"Indianapolis, IN",Retail,Grocery Clerk,2025-01-06,37.67,0.6,815,156,7,0,False,2025-01-07,2025-01-16,2025-01-18,,,Mid-level,Remote,$40k-$60k
Kroger,Part-time,"Dacula, GA",Retail,Grocery Clerk,2025-03-10,36.61,0.6,1282,44,9,1,True,2025-03-18,2025-03-22,2025-03-27,2025-03-31,13.0,Junior,Remote,$60k-$80k
McClatchy Media,Full-time,United States,Newspaper Publishing,"Marketing Communications Specialist, Orchestration",2024-12-09,49.56,1.6,1263,62,12,3,True,2024-12-16,2024-12-25,2024-12-27,2024-12-29,13.0,Junior,Remote,$80k-$100k
Kroger,Part-time,"McDonough, GA",Retail,Grocery Clerk,2024-10-28,44.93,1.2,1460,35,2,0,False,2024-10-29,2024-11-04,2024-11-08,,,Junior,Hybrid,$40k-$60k
Brookfield,Full-time,"New York, NY","Investment Management, Financial Services, and Venture Capital and Private Equity Principals",Senior Technology Support Specialist,2024-08-30,73.11,3.6,1154,23,1,0,False,2024-09-05,2024-09-14,2024-09-20,,,Senior,On-site,$120k+
Kroger,Part-time,"Pasadena, TX",Retail,Grocery Clerk,2025-03-02,49.59,1.6,585,127,12,2,True,2025-03-03,2025-03-08,2025-03-11,2025-03-16,13.0,Senior,On-site,$40k-$60k
Kroger,Part-time,"Holland, OH",Retail,Grocery Clerk,2025-01-28,50.31,1.7,933,54,2,0,False,2025-01-30,2025-02-06,2025-02-11,,,Mid-level,On-site,$40k-$60k
"Tarantino Properties, Inc.",Full-time,"West Odessa, TX",Real Estate,Med Tech/CMA,2024-04-18,38.18,0.7,915,181,42,12,False,2024-04-23,2024-04-27,2024-05-01,,,Mid-level,Hybrid,$60k-$80k
Kroger,Part-time,"Pigeon Forge, TN",Retail,Grocery Clerk,2024-04-11,47.2,1.4,849,60,6,2,True,2024-04-13,2024-04-17,2024-04-21,2024-04-27,14.0,Junior,On-site,$60k-$80k
Suralink,Full-time,United States,Accounting,Enterprise Account Executive,2024-08-12,37.71,0.6,499,180,12,5,False,2024-08-13,2024-08-22,2024-08-24,,,Senior,Remote,$60k-$80k
Kroger,Part-time,"Houston, TX",Retail,Courtesy Clerk/Grocery Bagger,2024-12-31,50.03,1.7,594,128,7,2,True,2025-01-06,2025-01-13,2025-01-15,2025-01-19,13.0,Senior,Remote,$60k-$80k
Kroger,Part-time,"Ypsilanti, MI",Retail,Online Grocery Pick-Up Clerk,2025-03-26,48.14,1.5,1430,160,18,6,False,2025-04-03,2025-04-10,2025-04-13,,,Junior,On-site,$40k-$60k
USDA,Full-time,"California, United States",Government Administration,Superviosry Assistant Dispatch Center Manager (Wildland Firefighter),2024-05-19,54.13,2.0,792,193,2,0,False,2024-05-27,2024-06-04,2024-06-06,,,Senior,On-site,$80k-$100k
Inspire,Full-time,"Atlanta, GA",Restaurants,Credit & Collections Senior Analyst,2024-10-21,62.07,2.7,713,28,2,0,False,2024-10-29,2024-11-05,2024-11-10,,,Senior,Hybrid,$100k-$120k
Jobot,Full-time,"Atlanta, GA",IT Services and IT Consulting and Software Development,Staff Backend Engineer ,2024-08-14,41.43,1.0,1401,91,15,3,True,2024-08-20,2024-08-29,2024-09-03,2024-09-05,16.0,Junior,On-site,$100k-$120k
Kroger,Part-time,"Charleston, WV",Retail,Online Grocery Pick-Up Clerk,2025-03-18,40.64,0.9,595,85,12,3,True,2025-03-21,2025-03-30,2025-04-04,2025-04-07,17.0,Junior,Hybrid,$40k-$60k
TEKsystems,Full-time,"Austin, TX",IT Services and IT Consulting,Business Systems Analyst - SAP MM/Customer Master,2025-01-15,40.23,0.9,570,192,17,7,False,2025-01-16,2025-01-19,2025-01-25,,,Junior,Hybrid,$60k-$80k
Kroger,Part-time,"Alpharetta, GA",Retail,Online Grocery Pick-Up Clerk,2025-01-14,39.94,0.8,1057,101,4,0,False,2025-01-16,2025-01-21,2025-01-26,,,Senior,On-site,$60k-$80k
Suralink,Full-time,United States,Accounting,Enterprise Account Executive,2024-09-12,53.13,1.9,990,197,7,1,False,2024-09-17,2024-09-25,2024-09-27,,,Senior,On-site,$80k-$100k
Georgia-Pacific LLC,Full-time,"Toledo, OR",Paper and Forest Product Manufacturing,Rotational Reliability Engineer,2024-08-28,46.24,1.4,857,196,41,10,True,2024-09-02,2024-09-11,2024-09-13,2024-09-15,13.0,Junior,On-site,$100k-$120k
Discover Financial Services,Part-time,"Newark, DE","Financial Services, Banking, and Hospitality",Part Time Fraud Acct Verification,2024-06-28,40.44,0.9,935,42,3,0,False,2024-06-29,2024-07-02,2024-07-07,,,Mid-level,Remote,$60k-$80k
Jobot,Full-time,"San Francisco, CA","Construction, Civil Engineering, and Industrial Machinery Manufacturing",Senior Solutions Architect - Enterprise Software,2024-04-22,82.78,4.4,583,156,34,0,False,2024-04-23,2024-05-01,2024-05-05,,,Senior,On-site,$120k+
Jobot,Full-time,"Decatur, GA","Hospitals and Health Care, Medical Practices, and Mental Health Care",MRI Tech- ARRT,2025-01-27,43.99,1.2,261,37,6,1,False,2025-02-05,2025-02-10,2025-02-14,,,Mid-level,Remote,$80k-$100k
"BAE Systems, Inc.",Full-time,"Merrimack, NH",Defense and Space Manufacturing,FAST Labs - Cyber/RF Software Development Intern ,2025-01-01,50.53,1.7,704,132,18,6,True,2025-01-03,2025-01-11,2025-01-15,2025-01-18,15.0,Junior,Hybrid,$40k-$60k
Health Match BC,Full-time,"Bowie, MD",Hospitals and Health Care,Diagnostic Radiology,2025-03-31,36.31,0.5,438,189,38,11,False,2025-04-07,2025-04-10,2025-04-13,,,Senior,Hybrid,$60k-$80k
Kroger,Part-time,"Murfreesboro, TN",Retail,Courtesy Clerk/Grocery Bagger,2025-03-30,44.75,1.2,394,135,13,2,False,2025-04-03,2025-04-09,2025-04-15,,,Junior,On-site,$40k-$60k
AdventHealth Colorado,Full-time,"Denver, CO",Hospitals and Health Care,RCIS - No Call,2024-10-06,35.67,0.5,877,186,34,6,True,2024-10-13,2024-10-22,2024-10-27,2024-11-02,20.0,Mid-level,Hybrid,$80k-$100k
National Association of Black Journalists (NABJ),Full-time,"New York, NY",Newspaper Publishing,Audio Reporter,2024-12-20,36.25,0.5,1445,46,6,1,False,2024-12-28,2025-01-02,2025-01-05,,,Mid-level,Hybrid,$60k-$80k
